team,champion_count,champion_pct,champion_ci_low,champion_ci_high
Spain,2372,23.72,22.89,24.57
Argentina,1127,11.27,10.66,11.91
France,1088,10.88,10.28,11.51
Brazil,635,6.35,5.88,6.85
England,555,5.55,5.11,6.02
Morocco,451,4.51,4.11,4.94
Germany,418,4.18,3.8,4.59
Mexico,406,4.06,3.68,4.47
Colombia,361,3.61,3.25,3.99
Netherlands,348,3.48,3.13,3.86
Ecuador,230,2.3,2.02,2.61
Portugal,211,2.11,1.84,2.41
Canada,193,1.93,1.67,2.22
Uruguay,192,1.92,1.66,2.21
Japan,184,1.84,1.59,2.12
Switzerland,161,1.61,1.37,1.88
Croatia,143,1.43,1.21,1.68
United States,112,1.12,0.92,1.35
Turkey,106,1.06,0.87,1.28
Paraguay,102,1.02,0.83,1.24
Norway,102,1.02,0.83,1.24
Belgium,91,0.91,0.73,1.12
Scotland,65,0.65,0.5,0.83
Austria,58,0.58,0.44,0.75
South Korea,52,0.52,0.39,0.68
Australia,32,0.32,0.22,0.45
Senegal,29,0.29,0.19,0.42
Algeria,27,0.27,0.18,0.39
Czech Republic,22,0.22,0.14,0.33
Iran,20,0.2,0.12,0.31
Panama,20,0.2,0.12,0.31
Sweden,19,0.19,0.11,0.3
Tunisia,11,0.11,0.05,0.2
Egypt,10,0.1,0.05,0.18
Uzbekistan,10,0.1,0.05,0.18
DR Congo,8,0.08,0.03,0.16
Ivory Coast,7,0.07,0.03,0.14
Jordan,6,0.06,0.02,0.13
Saudi Arabia,6,0.06,0.02,0.13
New Zealand,4,0.04,0.01,0.1
Iraq,3,0.03,0.01,0.09
Haiti,1,0.01,0.0,0.06
Bosnia & Herzegovina,1,0.01,0.0,0.06
South Africa,1,0.01,0.0,0.06
Qatar,0,0.0,0.0,0.04
Curacao,0,0.0,0.0,0.04
Cape Verde,0,0.0,0.0,0.04
Ghana,0,0.0,0.0,0.04
