team,elo,squad_value_eur,xg_for,xg_against,host_distance,rank,penalty_share,striker_concentration,shootout_winrate
Mexico,1888.9864913940144,83600000,1.2250729881545457,1.4614791144727273,4.585431746348229,15,0.07810650887573964,0.012788067644690312,0.5
South Africa,1637.8558532609989,52700000,1.2,1.2,13027.03961698951,60,0.05813953488372093,0.02927257977285019,0.47368421052631576
South Korea,1848.5599056927826,142300000,0.9442885577714284,1.7764042064285714,10513.63896307025,25,0.05702647657841141,0.017268055134996123,0.5714285714285714
Czech Republic,1745.1124774134796,196430000,1.2677299926375,1.206274446525,6335.511771321814,41,0.07101449275362319,0.012749422390254148,0.6470588235294118
Canada,1836.5343853915324,129550000,2.1611730825555555,2.2561240168777776,2.223898532891522,30,0.0657439446366782,0.026640006704900562,0.4444444444444444
Bosnia & Herzegovina,1657.7070713752187,133400000,1.2,1.2,6980.72491768032,65,0.053231939163498096,0.07354450693229626,0.5714285714285714
Qatar,1635.8472652216267,17930000,0.4693305661666667,1.2569763978,10517.263312049368,55,0.08917197452229299,0.03458558156517506,0.5263157894736842
Switzerland,1871.3660803437326,317600000,1.7744504426,2.0081611322722224,6085.254779804156,19,0.06751824817518248,0.01722254781821088,0.3888888888888889
Brazil,1929.128395173714,905700000,2.545046850716,1.11379442914,6790.2468707842745,6,0.06433301797540208,0.010834648319219799,0.5384615384615384
Morocco,1946.7379219243817,235800000,1.2264428517,1.32164555159,5841.809255324119,8,0.07792207792207792,0.014251981784449317,0.4583333333333333
Haiti,1655.7386849987595,55730000,1.2,1.2,2308.1790746127053,83,0.06770833333333333,0.032389322916666664,0.5
Scotland,1802.0933465316916,207830000,0.7659228901666667,1.047006616166667,4994.773664987233,43,0.06947368421052631,0.012653739612188365,0.5833333333333334
United States,1833.2604648822237,356700000,1.1040710342285716,0.9158152755142857,2.824379403834992,16,0.06099815157116451,0.022881567303651415,0.55
Paraguay,1872.244668309944,137300000,0.9864450799666667,1.547221746666667,6691.351553587325,40,0.05202312138728324,0.010614008709501375,0.4782608695652174
Australia,1873.0151489315008,51330000,0.8036733905285713,1.3362538562285715,13178.50899280761,27,0.06614173228346457,0.016221712443424886,0.5555555555555556
Turkey,1927.8478280425823,525200000,1.1463482600875,1.818223716925,8162.073215767525,42,0.06694560669456066,0.01937991281665237,0.5454545454545454
Germany,1951.243986588786,1010000000,1.88754334585,1.0808721729055557,6130.490589706068,10,0.059415911379657606,0.015730455585878593,0.6111111111111112
Curacao,1592.7733944098686,27780000,1.2,1.2,3083.720452462067,87,0.04310344827586207,0.021997621878715814,0.4166666666666667
Ivory Coast,1754.6207631911118,516900000,1.2,1.2,8158.736520660508,37,0.07407407407407407,0.02624167011631399,0.5357142857142857
Ecuador,1946.3862423414255,366200000,1.6717559039857142,1.4786068012142857,3130.5103358189913,23,0.07692307692307693,0.02315541601255887,0.5
Netherlands,1944.3386189134037,763000000,1.6855198478799998,1.114450067595,5633.124636797102,7,0.0757918552036199,0.015921561802583896,0.35
Japan,1938.9567077572624,264050000,1.5366166988375,1.8070704514375,10323.112320347369,18,0.050505050505050504,0.019275584124068972,0.45454545454545453
Sweden,1745.4104091651373,435380000,1.1990658875454543,1.4576887345272729,5995.4268758761655,38,0.08282208588957055,0.016795889946930632,0.5625
Tunisia,1724.767459577372,69550000,1.2327897912666668,1.8427089062,6910.458619590853,44,0.10365853658536585,0.016080458060678166,0.5217391304347826
Belgium,1855.2934891960983,558200000,1.3721894893750002,1.188523224275,5675.439851476642,9,0.07072135785007072,0.020720257517770367,0.5833333333333334
Egypt,1755.123937927004,136200000,0.995244216,1.8225949553333327,8858.767011347152,29,0.08663366336633663,0.023367807077737477,0.5555555555555556
Iran,1837.1986055942014,36550000,1.088565201,1.4251691286333334,9551.76519321798,21,0.06224899598393574,0.03208819212593345,0.45454545454545453
New Zealand,1708.101308500513,31700000,1.2,1.2,11103.829548993926,85,0.04057971014492753,0.02662465868515018,0.42857142857142855
Spain,2112.571923421059,1310000000,2.654664380004762,1.5453851141285715,5691.700509894941,2,0.06448087431693988,0.012621457792110843,0.5
Cape Verde,1653.5286326614628,56380000,1.2,1.2,5834.3522975804935,69,0.06060606060606061,0.04499540863177227,0.4666666666666667
Saudi Arabia,1696.8553561575093,27630000,1.04494284605,1.7600103246499998,10291.824678891633,61,0.09973753280839895,0.023374046748093496,0.631578947368421
Uruguay,1878.8872046335614,363000000,1.76124334736,1.2762544765,7547.907422637024,17,0.05904059040590406,0.013282014738966577,0.5185185185185185
France,2039.9094248447539,1470000000,1.901791562984,1.6176424949,5650.446684630105,1,0.06940874035989718,0.016458389780664943,0.47619047619047616
Senegal,1856.4545800194362,464300000,1.134475753071429,0.9207692944285714,6364.512537092445,14,0.0546218487394958,0.030506320175128877,0.5161290322580645
Iraq,1752.8910197041357,19280000,1.2,1.2,9387.622854127432,57,0.0625,0.02458448753462604,0.64
Norway,1898.3617890071448,586500000,1.2,1.2,5600.533275330031,31,0.07223476297968397,0.0247287884269474,0.5
Argentina,2047.8576961340052,762000000,2.2096784109954544,1.4591518077545451,7387.818679356816,3,0.060041407867494824,0.013328961074032638,0.6060606060606061
Algeria,1808.3266891288154,227850000,1.2,1.2,6406.542971313887,28,0.05985915492957746,0.026829994048799842,0.48
Austria,1815.8613079504714,258300000,1.310910169,1.479864406125,6568.363544734118,24,0.08514492753623189,0.020111321151018692,0.4166666666666667
Jordan,1749.9622606366559,16230000,1.2,1.2,9002.002443435551,63,0.08522727272727272,0.03660898760330578,0.38461538461538464
Portugal,1944.085434509565,905000000,1.9310460179833333,1.408770697188889,5387.143694136475,5,0.0589041095890411,0.03880653030587352,0.5555555555555556
DR Congo,1739.114614760359,149250000,1.2,1.2,10428.96390487082,46,0.09486166007905138,0.019231670546329422,0.5555555555555556
Uzbekistan,1825.2026883086526,79130000,1.2,1.2,9764.425749044425,50,0.05303030303030303,0.033717860422405876,0.4666666666666667
Colombia,1926.8489714320033,296450000,1.65944928989,1.37025006158,3166.215700282164,13,0.09699769053117784,0.01486487207249492,0.5454545454545454
England,1997.3023041000536,1320000000,1.7694288722214286,1.3272264281607142,5362.30820448801,4,0.08132147395171538,0.019938033708500103,0.4090909090909091
Croatia,1916.5394632301695,357300000,2.0651603784523807,1.942376531309524,6699.638099201311,11,0.06733167082294264,0.03495625027207542,0.5714285714285714
Ghana,1622.227615962159,289180000,1.1177510929,1.7004082195333334,8438.19011501564,74,0.08227848101265822,0.023874379105912513,0.43478260869565216
Panama,1794.9889416203162,31350000,0.8026244758000001,1.782402795857143,2403.6935319630484,33,0.08661417322834646,0.04082708165416331,0.5882352941176471
