team,champion_count,champion_pct,champion_ci_low,champion_ci_high
Spain,1601,16.01,15.3,16.74
Argentina,1094,10.94,10.33,11.57
France,1038,10.38,9.79,10.99
Brazil,780,7.8,7.28,8.34
England,772,7.72,7.2,8.26
Japan,357,3.57,3.21,3.95
Portugal,341,3.41,3.06,3.78
Netherlands,329,3.29,2.95,3.66
Mexico,314,3.14,2.81,3.5
United States,272,2.72,2.41,3.06
Colombia,271,2.71,2.4,3.05
Ecuador,249,2.49,2.19,2.81
Canada,248,2.48,2.18,2.8
Morocco,247,2.47,2.17,2.79
Croatia,244,2.44,2.15,2.76
Germany,234,2.34,2.05,2.66
Uruguay,231,2.31,2.02,2.62
South Korea,199,1.99,1.73,2.28
Belgium,140,1.4,1.18,1.65
Iran,138,1.38,1.16,1.63
Switzerland,127,1.27,1.06,1.51
Australia,123,1.23,1.02,1.47
Senegal,95,0.95,0.77,1.16
Norway,78,0.78,0.62,0.97
Tunisia,53,0.53,0.4,0.69
Turkey,52,0.52,0.39,0.68
Egypt,40,0.4,0.29,0.54
Uzbekistan,39,0.39,0.28,0.53
Scotland,31,0.31,0.21,0.44
Ivory Coast,31,0.31,0.21,0.44
Panama,28,0.28,0.19,0.4
Paraguay,26,0.26,0.17,0.38
Austria,25,0.25,0.16,0.37
Algeria,24,0.24,0.15,0.36
Iraq,20,0.2,0.12,0.31
Jordan,18,0.18,0.11,0.28
Ghana,17,0.17,0.1,0.27
Saudi Arabia,17,0.17,0.1,0.27
Qatar,14,0.14,0.08,0.23
New Zealand,9,0.09,0.04,0.17
Czech Republic,7,0.07,0.03,0.14
DR Congo,6,0.06,0.02,0.13
Haiti,5,0.05,0.02,0.12
Curacao,5,0.05,0.02,0.12
Cape Verde,4,0.04,0.01,0.1
Sweden,4,0.04,0.01,0.1
South Africa,2,0.02,0.0,0.07
Bosnia & Herzegovina,1,0.01,0.0,0.06
