Rank,Team,Upcoming matches,Points
1,France,,1877.32,
2,Spain,SpainIraq04 Jun13:00,1876.4,
3,Argentina,ArgentinaHonduras06 Jun18:00,1874.81,
4,England,,1825.97,
5,Portugal,,1763.83,
6,Brazil,BrazilPanama31 May15:00,1761.16,
7,Netherlands,NetherlandsUzbekistan08 Jun12:45,1757.87,
8,Morocco,,1755.87,
9,Belgium,CroatiaBelgium02 Jun10:00,1734.71,
10,Germany,USAGermany06 Jun13:30,1730.37,
11,Croatia,CroatiaBelgium02 Jun10:00,1717.07,
12,Italy,LuxembourgItaly03 Jun12:45,1700.37,
13,Colombia,,1693.09,
14,Senegal,USASenegal31 May13:30,1688.99,
15,Mexico,MexicoAustralia30 May20:00,1681.03,
16,USA,USASenegal31 May13:30,1673.13,
17,Uruguay,,1673.07,
18,Japan,JapanIceland31 May04:25,1660.43,
19,Switzerland,SwitzerlandJordan31 May07:00,1649.4,
20,Denmark,Congo DRDenmark03 Jun12:00,1620.81,
21,IR Iran,,1615.30,
22,Türkiye,TürkiyeNorth Macedonia01 Jun11:30,1599.04,
23,Ecuador,,1594.78,
24,Austria,AustriaTunisia01 Jun12:45,1593.45,
25,Korea Republic,,1588.66,
26,Nigeria,PolandNigeria03 Jun12:45,1585.09,
27,Australia,MexicoAustralia30 May20:00,1580.67,
28,Algeria,,1564.26,
29,Egypt,,1563.24,
30,Canada,,1556.48,
31,Norway,NorwaySweden01 Jun11:00,1550.94,
32,Ukraine,PolandUkraine31 May09:30,1546.88,
33,Panama,BrazilPanama31 May15:00,1540.64,
34,Côte d'Ivoire,,1532.98,
35,Poland,PolandUkraine31 May09:30,1528,
36,Russia,,1525.60,
37,Wales,WalesGhana02 Jun12:45,1524.29,
38,Sweden,NorwaySweden01 Jun11:00,1514.77,
39,Serbia,Cabo VerdeSerbia31 May08:30,1508.65,
40,Paraguay,,1503.5,
41,Czechia,CzechiaKosovo31 May08:00,1501.38,
42,Hungary,HungaryFinland05 Jun11:45,1500.58,
43,Scotland,,1498.35,
44,Tunisia,AustriaTunisia01 Jun12:45,1483.05,
45,Cameroon,,1481.24,
46,Congo DR,Congo DRDenmark03 Jun12:00,1478.35,
47,Greece,SwedenGreece04 Jun11:00,1475.82,
48,Slovakia,SlovakiaMalta01 Jun10:00,1473.94,
49,Venezuela,VenezuelaTürkiye06 Jun16:00,1468.05,
50,Uzbekistan,NetherlandsUzbekistan08 Jun12:45,1465.34,
51,Costa Rica,,1459.9,
52,Mali,,1459.13,
53,Peru,PeruHaiti05 Jun17:30,1455.87,
54,Chile,Congo DRChile09 Jun08:00,1455.28,
55,Qatar,,1454.96,
56,Romania,GeorgiaRomania02 Jun11:00,1451.16,
57,Iraq,SpainIraq04 Jun13:00,1447.14,
58,Slovenia,SloveniaCyprus04 Jun10:00,1446.44,
59,Republic of Ireland,,1436.63,
60,South Africa,,1429.73,
61,Saudi Arabia,Puerto RicoSaudi Arabia05 Jun18:00,1421.43,
62,Burkina Faso,,1412.49,
63,Jordan,SwitzerlandJordan31 May07:00,1391.45,
