match_id,match_date,kick_off,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_id,competition_country_name,competition_name,competition,season_id,season,home_team_id,home_team,home_team_gender,home_team_group,home_team_country_id,home_team_country_name,away_team_id,away_team,away_team_gender,away_team_group,away_team_country_id,away_team_country_name,competition_stage_id,competition_stage,stadium_id,stadium,stadium_country_id,stadium_country_name,referee_id,referee,referee_country_id,referee_country_name,home_managers,away_managers,home_manager_id,home_manager_name,home_manager_nickname,home_manager_dob,home_manager_country_id,home_manager_country_name,away_manager_id,away_manager_name,away_manager_nickname,away_manager_dob,away_manager_country_id,away_manager_country_name,data_version,shot_fidelity_version,xy_fidelity_version,season_name
3943077,2024-07-15,04:15:00.000,1,0,available,unscheduled,2024-07-15T15:50:08.671355,,6,223,South America,Copa America,South America - Copa America,282,2024,779,Argentina,male,,11,Argentina,769,Colombia,male,,49,Colombia,26,Final,5337,Hard Rock Stadium,241,United States of America,2638.0,Raphael Claus,31.0,Brazil,Lionel Sebastián Scaloni,Néstor Gabriel Lorenzo,5677.0,Lionel Sebastián Scaloni,,1978-05-16,11.0,Argentina,5905.0,Néstor Gabriel Lorenzo,,1966-02-28,11.0,Argentina,1.1.0,2,2,2024
3943076,2024-07-14,03:00:00.000,2,2,available,unscheduled,2024-07-15T07:57:02.660641,,6,223,South America,Copa America,South America - Copa America,282,2024,1833,Canada,male,,40,Canada,783,Uruguay,male,,242,Uruguay,25,3rd Place Final,52985,Bank of America Stadium,241,United States of America,1849.0,Alexis Herrera,246.0,Venezuela (Bolivarian Republic),Jesse Marsch,Marcelo Alberto Bielsa Caldera,165.0,Jesse Marsch,,1973-11-08,241.0,United States of America,269.0,Marcelo Alberto Bielsa Caldera,Marcelo Bielsa,1955-07-21,11.0,Argentina,1.1.0,2,2,2024
3942852,2024-07-11,03:00:00.000,0,1,available,unscheduled,2024-07-15T18:00:33.653673,,5,223,South America,Copa America,South America - Copa America,282,2024,783,Uruguay,male,,242,Uruguay,769,Colombia,male,,49,Colombia,15,Semi-finals,52985,Bank of America Stadium,241,United States of America,740.0,César Arturo Ramos Palazuelos,147.0,Mexico,Marcelo Alberto Bielsa Caldera,Néstor Gabriel Lorenzo,269.0,Marcelo Alberto Bielsa Caldera,Marcelo Bielsa,1955-07-21,11.0,Argentina,5905.0,Néstor Gabriel Lorenzo,,1966-02-28,11.0,Argentina,1.1.0,2,2,2024
3942785,2024-07-10,03:00:00.000,2,0,available,unscheduled,2024-07-14T15:55:49.351182,,5,223,South America,Copa America,South America - Copa America,282,2024,779,Argentina,male,,11,Argentina,1833,Canada,male,,40,Canada,15,Semi-finals,1001990,MetLife Stadium,241,United States of America,1776.0,Piero Maza Gomez,45.0,Chile,Lionel Sebastián Scaloni,Jesse Marsch,5677.0,Lionel Sebastián Scaloni,,1978-05-16,11.0,Argentina,165.0,Jesse Marsch,,1973-11-08,241.0,United States of America,1.1.0,2,2,2024
3942416,2024-07-07,01:00:00.000,5,0,available,unscheduled,2024-07-10T06:49:40.099252,,4,223,South America,Copa America,South America - Copa America,282,2024,769,Colombia,male,,49,Colombia,798,Panama,male,,176,Panama,11,Quarter-finals,118193,State Farm Stadium,241,United States of America,252.0,Maurizio Mariani,112.0,Italy,Néstor Gabriel Lorenzo,Thomas Christiansen Tarín,5905.0,Néstor Gabriel Lorenzo,,1966-02-28,11.0,Argentina,415.0,Thomas Christiansen Tarín,Thomas Christiansen,1973-03-11,214.0,Spain,1.1.0,2,2,2024
3942415,2024-07-07,04:00:00.000,0,0,available,unscheduled,2024-07-14T15:32:06.707155,,4,223,South America,Copa America,South America - Copa America,282,2024,783,Uruguay,male,,242,Uruguay,781,Brazil,male,,31,Brazil,11,Quarter-finals,1000154,Allegiant Stadium,241,United States of America,1120.0,Darío Herrera,11.0,Argentina,Marcelo Alberto Bielsa Caldera,Dorival Silvestre Júnior,269.0,Marcelo Alberto Bielsa Caldera,Marcelo Bielsa,1955-07-21,11.0,Argentina,3239.0,Dorival Silvestre Júnior,Dorival Júnior,1962-04-25,31.0,Brazil,1.1.0,2,2,2024
3939986,2024-06-30,03:00:00.000,2,0,available,unscheduled,2024-07-10T08:52:05.304046,,3,223,South America,Copa America,South America - Copa America,282,2024,779,Argentina,male,,11,Argentina,784,Peru,male,,179,Peru,10,Group Stage,5337,Hard Rock Stadium,241,United States of America,740.0,César Arturo Ramos Palazuelos,147.0,Mexico,Lionel Sebastián Scaloni,Jorge Daniel Fossati Lurachi,5677.0,Lionel Sebastián Scaloni,,1978-05-16,11.0,Argentina,3841.0,Jorge Daniel Fossati Lurachi,Jorge Fossati,1952-11-22,242.0,Uruguay,1.1.0,2,2,2024
3939973,2024-06-24,04:00:00.000,3,1,available,unscheduled,2024-07-08T22:09:32.590631,,1,223,South America,Copa America,South America - Copa America,282,2024,783,Uruguay,male,,242,Uruguay,798,Panama,male,,176,Panama,10,Group Stage,5337,Hard Rock Stadium,241,United States of America,1776.0,Piero Maza Gomez,45.0,Chile,Marcelo Alberto Bielsa Caldera,Thomas Christiansen Tarín,269.0,Marcelo Alberto Bielsa Caldera,Marcelo Bielsa,1955-07-21,11.0,Argentina,415.0,Thomas Christiansen Tarín,Thomas Christiansen,1973-03-11,214.0,Spain,1.1.0,2,2,2024
3942229,2024-07-06,04:00:00.000,1,1,available,unscheduled,2024-07-13T23:56:59.669800,,4,223,South America,Copa America,South America - Copa America,282,2024,3563,Venezuela,male,,246,Venezuela (Bolivarian Republic),1833,Canada,male,,40,Canada,11,Quarter-finals,94424,AT&T Stadium,241,United States of America,986.0,Wilton Pereira Sampaio,31.0,Brazil,Fernando Ariel Batista,Jesse Marsch,1001500.0,Fernando Ariel Batista,,1970-08-20,11.0,Argentina,165.0,Jesse Marsch,,1973-11-08,241.0,United States of America,1.1.0,2,2,2024
3942228,2024-07-05,04:00:00.000,1,1,available,unscheduled,2024-07-11T14:18:57.536262,,4,223,South America,Copa America,South America - Copa America,282,2024,779,Argentina,male,,11,Argentina,3565,Ecuador,male,,65,Ecuador,11,Quarter-finals,118199,NRG Stadium,241,United States of America,1814.0,Andrés Matonte,242.0,Uruguay,Lionel Sebastián Scaloni,Félix Sánchez Bas,5677.0,Lionel Sebastián Scaloni,,1978-05-16,11.0,Argentina,5710.0,Félix Sánchez Bas,Félix Sánchez,1975-12-13,214.0,Spain,1.1.0,2,2,2024
