group,team
A,Mexico
B,Canada
C,Brazil
D,United States
E,Germany
F,Netherlands
G,Belgium
H,Spain
I,France
J,Argentina
K,Portugal
L,England
A,South Africa
B,Bosnia & Herzegovina
C,Morocco
D,Paraguay
E,Curacao
F,Japan
G,Egypt
H,Cape Verde
I,Senegal
J,Algeria
K,DR Congo
L,Croatia
A,South Korea
B,Qatar
C,Haiti
D,Australia
E,Ivory Coast
F,Sweden
G,Iran
H,Saudi Arabia
I,Iraq
J,Austria
K,Uzbekistan
L,Ghana
A,Czech Republic
B,Switzerland
C,Scotland
D,Turkey
E,Ecuador
F,Tunisia
G,New Zealand
H,Uruguay
I,Norway
J,Jordan
K,Colombia
L,Panama
