team,champion_count,champion_pct,champion_ci_low,champion_ci_high
Spain,1412,14.12,13.55,14.71
Argentina,1120,11.2,10.68,11.73
Brazil,832,8.32,7.87,8.79
France,801,8.01,7.57,8.47
England,630,6.3,5.9,6.71
Mexico,606,6.06,5.67,6.47
United States,569,5.69,5.31,6.09
Japan,403,4.03,3.71,4.37
Portugal,372,3.72,3.41,4.05
Germany,301,3.01,2.73,3.31
Croatia,272,2.72,2.46,3.0
Netherlands,245,2.45,2.2,2.72
Canada,240,2.4,2.15,2.67
Colombia,225,2.25,2.01,2.51
Uruguay,218,2.18,1.95,2.44
Ecuador,190,1.9,1.68,2.14
Iran,184,1.84,1.62,2.08
South Korea,169,1.69,1.48,1.92
Morocco,169,1.69,1.48,1.92
Australia,153,1.53,1.33,1.75
Switzerland,151,1.51,1.31,1.73
Belgium,131,1.31,1.13,1.51
Senegal,90,0.9,0.75,1.07
Turkey,59,0.59,0.47,0.73
Qatar,46,0.46,0.35,0.59
Egypt,41,0.41,0.31,0.53
Panama,40,0.4,0.3,0.52
Tunisia,39,0.39,0.29,0.51
Uzbekistan,38,0.38,0.28,0.5
Norway,37,0.37,0.28,0.49
Ivory Coast,31,0.31,0.22,0.42
Paraguay,31,0.31,0.22,0.42
Iraq,24,0.24,0.17,0.34
Austria,24,0.24,0.17,0.34
Saudi Arabia,23,0.23,0.16,0.33
Algeria,15,0.15,0.09,0.23
Scotland,14,0.14,0.08,0.22
Czech Republic,12,0.12,0.07,0.19
Jordan,11,0.11,0.06,0.18
Ghana,9,0.09,0.05,0.16
Sweden,7,0.07,0.03,0.13
DR Congo,6,0.06,0.03,0.12
New Zealand,5,0.05,0.02,0.11
South Africa,2,0.02,0.0,0.06
Haiti,2,0.02,0.0,0.06
Curacao,1,0.01,0.0,0.05
Bosnia & Herzegovina,0,0.0,0.0,0.03
Cape Verde,0,0.0,0.0,0.03
