team,squad_value_eur
France,1470000000
England,1320000000
Brazil,905700000
Germany,1010000000
Spain,1310000000
Portugal,905000000
Argentina,762000000
Netherlands,763000000
Belgium,558200000
Italy,833500000
United States,356700000
Colombia,296450000
Norway,586500000
Japan,264050000
Croatia,357300000
Uruguay,363000000
Serbia,260500000
South Korea,142300000
Morocco,235800000
Senegal,464300000
Australia,51330000
Mexico,83600000
Ecuador,366200000
Ivory Coast,516900000
Nigeria,160700000
Egypt,136200000
Peru,28900000
Chile,75200000
Algeria,227850000
Iran,36550000
Cameroon,197600000
Venezuela,62730000
Saudi Arabia,27630000
DR Congo,149250000
South Africa,52700000
Slovenia,143850000
Qatar,17930000
Honduras,16300000
Panama,31350000
Jamaica,54000000
New Zealand,31700000
Iraq,19280000
Canada,129550000
Turkey,525200000
Switzerland,317600000
Sweden,435380000
Austria,258300000
Scotland,207830000
Czech Republic,196430000
Ghana,289180000
Tunisia,69550000
Paraguay,137300000
Bosnia & Herzegovina,133400000
Cape Verde,56380000
Jordan,16230000
Uzbekistan,79130000
Curacao,27780000
Haiti,55730000
Guatemala,5480000
Bahrain,6230000
Cuba,2100000
Kenya,3130000
