team,xg_for,xg_against,n_matches
Albania,1.0,1.6666666666666667,3
Argentina,1.7272727272727273,1.1363636363636365,22
Argentina U20,3.0,1.0,1
Argentina Women's,0.8333333333333334,1.5,6
Australia,0.8571428571428571,1.5714285714285714,7
Australia Women's,1.7272727272727273,1.2727272727272727,11
Austria,1.5,1.375,8
Austria Women's,0.75,0.75,4
Bayern Munich,0.0,2.0,1
Belgium,1.4,0.75,20
Belgium Women's,1.0,1.7142857142857142,7
Bolivia,0.3333333333333333,3.3333333333333335,3
Brazil,2.08,0.88,25
Brazil Women's,1.7142857142857142,1.0,7
Cameroon,1.3333333333333333,1.3333333333333333,3
Cameroon Women's,0.75,2.0,4
Canada,0.6666666666666666,1.5555555555555556,9
Canada Women's,0.8571428571428571,1.1428571428571428,7
Chile,0.0,0.3333333333333333,3
Chile Women's,0.6666666666666666,1.6666666666666667,3
China PR Women's,0.42857142857142855,1.4285714285714286,7
Colombia,1.8,0.6,10
Colombia Women's,1.2,0.8,5
Costa Rica,0.7777777777777778,2.2222222222222223,9
Costa Rica Women's,0.3333333333333333,2.6666666666666665,3
Croatia,1.5238095238095237,1.4285714285714286,21
Czech Republic,1.125,1.125,8
Czechoslovakia,1.0,4.0,1
Denmark,1.0588235294117647,0.9411764705882353,17
Denmark Women's,0.7,1.4,10
Ecuador,1.2857142857142858,1.0,7
Egypt,0.6666666666666666,2.0,3
England,1.6071428571428572,0.8214285714285714,28
England Women's,2.4615384615384617,0.6923076923076923,26
Finland,0.3333333333333333,1.0,3
France,1.72,1.12,25
France Women's,2.3157894736842106,0.9473684210526315,19
Georgia,1.25,2.0,4
German DR,0.5,1.0,2
Germany,1.6111111111111112,1.3888888888888888,18
Germany Women's,2.0,0.7894736842105263,19
Ghana,1.6666666666666667,2.3333333333333335,3
Haiti Women's,0.0,1.3333333333333333,3
Hungary,0.8333333333333334,1.8333333333333333,6
Iceland,0.6666666666666666,1.6666666666666667,3
Iceland Women's,1.0,1.6666666666666667,6
Iran,1.0,1.5,6
Italy,1.4166666666666667,1.0833333333333333,12
Italy Women's,1.25,1.625,16
Jamaica,0.3333333333333333,2.3333333333333335,3
Jamaica Women's,0.2857142857142857,1.8571428571428572,7
Japan,1.375,1.375,8
Japan Women's,2.0,0.8888888888888888,9
Juventus,0.0,3.0,1
Korea Republic Women's,0.3333333333333333,2.0,6
Mexico,0.5454545454545454,1.0909090909090908,11
Morocco,0.8,0.9,10
Morocco Women's,0.5,2.5,4
Napoli,2.3333333333333335,0.3333333333333333,3
Netherlands,1.85,0.85,20
Netherlands Women's,1.894736842105263,1.1578947368421053,19
New Zealand Women's,0.3333333333333333,1.0,6
Nigeria,1.0,1.3333333333333333,3
Nigeria Women's,0.625,1.125,8
North Macedonia,0.6666666666666666,2.6666666666666665,3
Northern Ireland,0.3333333333333333,3.6666666666666665,3
Norway Women's,1.6875,1.75,16
Panama,1.1428571428571428,3.0,7
Panama Women's,1.0,3.6666666666666665,3
Paraguay,1.0,2.6666666666666665,3
Peru,0.5714285714285714,1.2857142857142858,7
Philippines Women's,0.3333333333333333,2.6666666666666665,3
Poland,0.9230769230769231,1.6923076923076923,13
Poland Women's,1.0,2.3333333333333335,3
Portugal,1.6666666666666667,1.2222222222222223,18
Portugal Women's,0.8888888888888888,2.111111111111111,9
Qatar,0.3333333333333333,2.3333333333333335,3
Republic of Ireland Women's,0.3333333333333333,1.0,3
Romania,1.2,1.8,5
Russia,1.625,1.75,8
Saudi Arabia,0.8333333333333334,2.0,6
Scotland,0.5,2.0,6
Scotland Women's,1.6666666666666667,2.3333333333333335,3
Senegal,1.2857142857142858,1.5714285714285714,7
Serbia,0.8888888888888888,1.5555555555555556,9
Slovakia,0.8571428571428571,1.7142857142857142,7
Slovenia,0.5,0.5,4
South Africa Women's,1.0,2.2857142857142856,7
South Korea,1.1428571428571428,1.5714285714285714,7
Soviet Union U20,1.0,3.0,1
Spain,2.0952380952380953,0.9047619047619048,21
Spain Women's,2.1904761904761907,0.9523809523809523,21
Sweden,1.1818181818181819,1.1818181818181819,11
Sweden Women's,1.9565217391304348,0.8260869565217391,23
Switzerland,1.4444444444444444,1.5,18
Switzerland Women's,1.0,1.6363636363636365,11
Thailand Women's,0.3333333333333333,6.666666666666667,3
Tunisia,1.0,1.5,6
Turkey,1.125,2.0,8
Ukraine,1.0,1.75,8
United States,0.8571428571428571,1.0,7
United States Women's,2.727272727272727,0.36363636363636365,11
Uruguay,1.4,0.8,15
Venezuela,1.75,0.5,4
VfB Stuttgart,1.0,2.0,1
Vietnam Women's,0.0,4.0,3
WNT Finland,0.6666666666666666,1.8333333333333333,6
Wales,0.6,2.5,10
Zambia Women's,1.0,3.6666666666666665,3
