year,date,stage,home_team,away_team,home_score,away_score,winner,match_id,tournament
1974,1974-06-10,Quarter-finals,South Korea,Sweden,0,0,Draw,1,FIFA World Cup 
1974,1974-06-10,Quarter-finals,Ghana,Switzerland,2,0,Ghana,2,FIFA World Cup 
1974,1974-06-10,Group Stage,Sweden,Saudi Arabia,2,0,Sweden,3,FIFA World Cup 
1974,1974-06-10,Group Stage,Cameroon,Uruguay,2,1,Cameroon,4,FIFA World Cup 
1974,1974-06-10,Group Stage,Nigeria,Japan,2,1,Nigeria,5,FIFA World Cup 
1974,1974-06-10,Group Stage,Saudi Arabia,Iran,2,0,Saudi Arabia,6,FIFA World Cup 
1974,1974-06-11,Group Stage,Algeria,Cameroon,1,2,Cameroon,7,FIFA World Cup 
1974,1974-06-11,Group Stage,Portugal,Argentina,1,2,Argentina,8,FIFA World Cup 
1974,1974-06-11,Group Stage,Cameroon,Saudi Arabia,2,1,Cameroon,9,FIFA World Cup 
1974,1974-06-12,Round of 16,USA,Costa Rica,0,0,Draw,10,FIFA World Cup 
1974,1974-06-12,Group Stage,Belgium,Egypt,1,2,Egypt,11,FIFA World Cup 
1974,1974-06-12,Group Stage,Brazil,Germany,1,1,Draw,12,FIFA World Cup 
1974,1974-06-12,Round of 16,Denmark,Portugal,1,0,Denmark,13,FIFA World Cup 
1974,1974-06-13,Group Stage,Senegal,Switzerland,0,2,Switzerland,14,FIFA World Cup 
1974,1974-06-14,Group Stage,Nigeria,Tunisia,2,2,Draw,15,FIFA World Cup 
1974,1974-06-14,Group Stage,Netherlands,Portugal,1,1,Draw,16,FIFA World Cup 
1974,1974-06-14,Group Stage,Saudi Arabia,Japan,2,2,Draw,17,FIFA World Cup 
1974,1974-06-14,Group Stage,Morocco,Ghana,0,2,Ghana,18,FIFA World Cup 
1974,1974-06-14,Group Stage,Croatia,Denmark,2,1,Croatia,19,FIFA World Cup 
1974,1974-06-15,Group Stage,Croatia,Argentina,2,2,Draw,20,FIFA World Cup 
1974,1974-06-15,Group Stage,Australia,Uruguay,2,0,Australia,21,FIFA World Cup 
1974,1974-06-15,Semi-finals,France,Algeria,1,0,France,22,FIFA World Cup 
1974,1974-06-15,Group Stage,France,Mexico,1,0,France,23,FIFA World Cup 
1974,1974-06-15,Group Stage,South Korea,Argentina,2,0,South Korea,24,FIFA World Cup 
1974,1974-06-15,Group Stage,Egypt,Mexico,1,1,Draw,25,FIFA World Cup 
1974,1974-06-15,Group Stage,Morocco,Iran,2,1,Morocco,26,FIFA World Cup 
1974,1974-06-15,Round of 16,Ghana,Germany,1,0,Ghana,27,FIFA World Cup 
1974,1974-06-16,Group Stage,Mexico,Switzerland,2,1,Mexico,28,FIFA World Cup 
1974,1974-06-16,Group Stage,Nigeria,Italy,3,1,Nigeria,29,FIFA World Cup 
1974,1974-06-16,Group Stage,Japan,Nigeria,1,0,Japan,30,FIFA World Cup 
1974,1974-06-17,Group Stage,Iran,Sweden,1,1,Draw,31,FIFA World Cup 
1974,1974-06-17,Group Stage,Egypt,Argentina,0,1,Argentina,32,FIFA World Cup 
1974,1974-06-17,Group Stage,Belgium,Mexico,0,1,Mexico,33,FIFA World Cup 
1974,1974-06-17,Round of 16,Brazil,Senegal,0,0,Draw,34,FIFA World Cup 
1974,1974-06-17,Group Stage,Sweden,Iran,1,1,Draw,35,FIFA World Cup 
1974,1974-06-18,Group Stage,Switzerland,Sweden,1,0,Switzerland,36,FIFA World Cup 
1974,1974-06-18,Group Stage,Netherlands,Germany,1,0,Netherlands,37,FIFA World Cup 
1974,1974-06-18,Group Stage,Poland,Saudi Arabia,1,1,Draw,38,FIFA World Cup 
1974,1974-06-18,Group Stage,Iran,Belgium,1,0,Iran,39,FIFA World Cup 
1974,1974-06-20,Semi-finals,Algeria,Tunisia,1,0,Algeria,40,FIFA World Cup 
1974,1974-06-20,Group Stage,Spain,Argentina,2,1,Spain,41,FIFA World Cup 
1974,1974-06-20,Group Stage,Argentina,Denmark,2,1,Argentina,42,FIFA World Cup 
1974,1974-06-21,Group Stage,Portugal,Switzerland,0,1,Switzerland,43,FIFA World Cup 
